contract_no,cust_id,snapshot_date_d0,snapshot_date_dn,risk_segment_d0,risk_segment_dn,recovery_score_d0,recovery_score_dn,dpd_current_d0,dpd_current_dn,nba_recommendation_d0,nba_recommendation_dn,priority_level_d0,priority_level_dn,total_ots_d0,total_ots_dn,recovery_score_delta,dpd_delta,segment_changed,nba_changed
CTR-00012-1,CUST-00012,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1427,0.2836,294,324,Somasi,Somasi,Critical,Critical,22148000.0,22148000.0,0.14090000000000003,30,False,False
CTR-00013-1,CUST-00013,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4941,0.4044,579,609,Visit,Visit,High,High,12624000.0,12624000.0,-0.0897,30,False,False
CTR-00013-2,CUST-00013,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1175,0.1426,242,272,Somasi,Somasi,Critical,Critical,6312000.0,6312000.0,0.02510000000000001,30,False,False
CTR-00013-3,CUST-00013,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0478,0.0549,546,576,Somasi,Somasi,Critical,Critical,7200000.0,6400000.0,0.007099999999999995,30,False,False
CTR-00014-1,CUST-00014,2026-08-01,2026-08-31,Can Pay,Cannot Pay,0.5257,0.3556,241,271,Deskcoll,Visit,High,Critical,34900000.0,31410000.0,-0.17009999999999992,30,True,True
CTR-00015-1,CUST-00015,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1026,0.0843,656,686,Somasi,Somasi,Critical,Critical,5676000.0,5676000.0,-0.018299999999999997,30,False,False
CTR-00016-1,CUST-00016,2026-08-01,2026-08-31,Can Pay,Can Pay,0.7419,0.6313,770,800,Deskcoll,Deskcoll,Medium,Medium,5388000.0,5388000.0,-0.11060000000000003,30,False,False
CTR-00017-1,CUST-00017,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1341,0.1716,592,622,Somasi,Somasi,Critical,Critical,8180000.0,7771000.0,0.037500000000000006,30,False,False
CTR-00017-2,CUST-00017,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0836,0.0769,176,206,Somasi,Somasi,Critical,Critical,9061000.0,9061000.0,-0.006699999999999998,30,False,False
CTR-00017-3,CUST-00017,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.09,0.0532,376,406,Visit,Visit,High,High,4842000.0,4842000.0,-0.0368,30,False,False
CTR-00018-1,CUST-00018,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1779,0.1122,182,212,Somasi,Somasi,Critical,Critical,23254000.0,23254000.0,-0.06570000000000001,30,False,False
CTR-00020-1,CUST-00020,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.3059,0.3924,159,189,Visit,Visit,Critical,High,24120000.0,14472000.0,0.08650000000000002,30,False,False
CTR-00020-2,CUST-00020,2026-08-01,2026-08-31,Can Pay,Can Pay,0.0354,0.2841,117,147,Deskcoll,Deskcoll,High,Medium,17966000.0,17966000.0,0.24870000000000003,30,False,False
CTR-00021-1,CUST-00021,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0856,0.1111,770,800,Somasi,Somasi,Critical,Critical,26532000.0,26532000.0,0.02550000000000001,30,False,False
CTR-00022-1,CUST-00022,2026-08-01,2026-08-31,Can Pay,Can Pay,0.5537,0.5241,244,274,Deskcoll,Deskcoll,Medium,Medium,8940000.0,8195000.0,-0.02959999999999996,30,False,False
CTR-00022-2,CUST-00022,2026-08-01,2026-08-31,Can Pay,Can Pay,0.6587,0.7552,384,414,Deskcoll,Deskcoll,Medium,Medium,6222000.0,6222000.0,0.09650000000000003,30,False,False
CTR-00023-1,CUST-00023,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.3565,0.7722,238,268,Visit,Deskcoll,Critical,High,44217000.0,44217000.0,0.4157,30,True,True
CTR-00024-1,CUST-00024,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.4481,0.5341,557,587,Visit,Deskcoll,High,Medium,7850000.0,6280000.0,0.08600000000000002,30,True,True
CTR-00025-1,CUST-00025,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1675,0.2752,289,319,Somasi,Somasi,Critical,Critical,5049000.0,5049000.0,0.10769999999999999,30,False,False
CTR-00026-1,CUST-00026,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0518,0.083,313,343,Somasi,Somasi,Critical,Critical,5445000.0,5445000.0,0.031200000000000006,30,False,False
CTR-00027-1,CUST-00027,2026-08-01,2026-08-31,Won't Pay,Can Pay,0.1521,0.6133,144,174,Somasi,Deskcoll,Critical,Medium,9462000.0,9462000.0,0.46119999999999994,30,True,True
CTR-00027-2,CUST-00027,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2992,0.2068,154,184,Somasi,Somasi,Critical,Critical,13600000.0,13600000.0,-0.09240000000000001,30,False,False
CTR-00027-3,CUST-00027,2026-08-01,2026-08-31,Won't Pay,Can Pay,0.1934,0.567,603,633,Visit,Deskcoll,Critical,Medium,4710000.0,4710000.0,0.37359999999999993,30,True,True
CTR-00028-1,CUST-00028,2026-08-01,2026-08-31,Can Pay,Can Pay,0.7989,0.7187,257,287,Deskcoll,Deskcoll,High,High,33474000.0,28692000.0,-0.08020000000000005,30,False,False
CTR-00028-2,CUST-00028,2026-08-01,2026-08-31,Can Pay,Can Pay,0.593,0.5263,394,424,Deskcoll,Deskcoll,Medium,Medium,18966000.0,15805000.0,-0.06669999999999998,30,False,False
CTR-00029-1,CUST-00029,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2133,0.2192,172,202,Somasi,Somasi,Critical,Critical,7680000.0,7680000.0,0.005900000000000016,30,False,False
CTR-00029-2,CUST-00029,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4028,0.3659,137,167,Visit,Visit,Medium,Medium,2856000.0,2380000.0,-0.03689999999999999,30,False,False
CTR-00030-1,CUST-00030,2026-08-01,2026-08-31,Cannot Pay,Won't Pay,0.3941,0.1732,172,202,Deskcoll,Visit,Medium,High,1704000.0,0.0,-0.2209,30,True,True
CTR-00031-1,CUST-00031,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.406,0.4193,140,170,Visit,Visit,High,High,10500000.0,10200000.0,0.013299999999999979,30,False,False
CTR-00031-2,CUST-00031,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1871,0.2735,424,454,Somasi,Somasi,Critical,Critical,15200000.0,14250000.0,0.08640000000000003,30,False,False
CTR-00032-1,CUST-00032,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0597,0.16,869,899,Somasi,Somasi,Critical,Critical,12427000.0,11696000.0,0.1003,30,False,False
CTR-00032-2,CUST-00032,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0782,0.0593,497,527,Somasi,Somasi,Critical,Critical,9440000.0,8260000.0,-0.018900000000000007,30,False,False
CTR-00033-1,CUST-00033,2026-08-01,2026-08-31,Won't Pay,Can Pay,0.2872,0.5769,268,298,Somasi,Visit,Critical,High,11101000.0,11101000.0,0.28969999999999996,30,True,True
CTR-00034-1,CUST-00034,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1212,0.1308,398,428,Somasi,Somasi,Critical,Critical,12848000.0,12848000.0,0.009599999999999997,30,False,False
CTR-00035-1,CUST-00035,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1772,0.048,277,307,Somasi,Somasi,Critical,Critical,21588000.0,20560000.0,-0.12919999999999998,30,False,False
CTR-00036-1,CUST-00036,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1479,0.0787,284,314,Pickup,Pickup,Critical,Critical,25365000.0,23674000.0,-0.0692,30,False,False
CTR-00036-2,CUST-00036,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2237,0.23,158,188,Somasi,Somasi,Critical,Critical,11472000.0,11472000.0,0.0063,30,False,False
CTR-00036-3,CUST-00036,2026-08-01,2026-08-31,Can Pay,Cannot Pay,0.5325,0.3994,374,404,Deskcoll,Visit,Medium,High,13326000.0,13326000.0,-0.1331,30,True,True
CTR-00037-1,CUST-00037,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.2252,0.312,153,183,Somasi,Visit,Critical,High,9528000.0,8734000.0,0.08679999999999999,30,True,True
CTR-00037-2,CUST-00037,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.0647,0.3316,494,524,Visit,Visit,Critical,High,3971000.0,3971000.0,0.2669,30,True,False
CTR-00037-3,CUST-00037,2026-08-01,2026-08-31,Can Pay,Can Pay,0.539,0.7751,345,375,Deskcoll,Deskcoll,Low,Low,4544000.0,4544000.0,0.23609999999999998,30,False,False
CTR-00038-1,CUST-00038,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.3316,0.7022,405,435,Visit,Deskcoll,High,Medium,6818000.0,6818000.0,0.37060000000000004,30,True,True
CTR-00038-2,CUST-00038,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2182,0.1809,188,218,Somasi,Somasi,Critical,Critical,6504000.0,6504000.0,-0.0373,30,False,False
CTR-00039-1,CUST-00039,2026-08-01,2026-08-31,Cannot Pay,Won't Pay,0.3816,0.143,590,620,Visit,Somasi,Critical,Critical,10469000.0,10469000.0,-0.2386,30,True,True
CTR-00040-1,CUST-00040,2026-08-01,2026-08-31,Cannot Pay,Won't Pay,0.3142,0.2646,437,467,Visit,Somasi,High,Critical,14915000.0,14915000.0,-0.04959999999999998,30,True,True
CTR-00040-2,CUST-00040,2026-08-01,2026-08-31,Won't Pay,Can Pay,0.2976,0.8346,159,189,Somasi,Deskcoll,Critical,Medium,14904000.0,14904000.0,0.537,30,True,True
CTR-00041-1,CUST-00041,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1876,0.141,167,197,Pickup,Pickup,Critical,Critical,55246000.0,55246000.0,-0.0466,30,False,False
CTR-00041-2,CUST-00041,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0655,0.1494,425,455,Pickup,Pickup,Critical,Critical,46998000.0,46998000.0,0.0839,30,False,False
CTR-00041-3,CUST-00041,2026-08-01,2026-08-31,Won't Pay,Can Pay,0.2713,0.6091,253,283,Pickup,Deskcoll,Critical,High,56412000.0,51711000.0,0.3378,30,True,True
CTR-00042-1,CUST-00042,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1316,0.0608,166,196,Somasi,Somasi,Critical,Critical,14960000.0,14960000.0,-0.0708,30,False,False
CTR-00043-1,CUST-00043,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.2554,0.3675,568,598,Somasi,Visit,Critical,High,11856000.0,10868000.0,0.11209999999999998,30,True,True
CTR-00046-1,CUST-00046,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1774,0.1634,114,144,Somasi,Visit,Critical,Critical,8470000.0,4235000.0,-0.014000000000000012,30,False,True
CTR-00047-1,CUST-00047,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.3087,0.7877,534,564,Visit,Visit,Medium,Low,4545000.0,4545000.0,0.479,30,True,False
CTR-00048-1,CUST-00048,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0906,0.0585,332,362,Somasi,Somasi,Critical,Critical,26484000.0,22070000.0,-0.0321,30,False,False
CTR-00049-1,CUST-00049,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1453,0.2981,50,80,Somasi,Somasi,Critical,Critical,12340000.0,11106000.0,0.15279999999999996,30,False,False
CTR-00049-2,CUST-00049,2026-08-01,2026-08-31,Cannot Pay,Won't Pay,0.3588,0.0746,146,176,Visit,Somasi,Critical,Critical,7623000.0,7623000.0,-0.2842,30,True,True
CTR-00050-1,CUST-00050,2026-08-01,2026-08-31,Won't Pay,Can Pay,0.2489,0.54,564,594,Somasi,Deskcoll,Critical,Medium,13188000.0,13188000.0,0.2911,30,True,True
CTR-00050-2,CUST-00050,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2396,0.2941,74,104,Visit,Visit,High,High,4536000.0,4158000.0,0.054499999999999965,30,False,False
CTR-00051-1,CUST-00051,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.3464,0.612,269,299,Visit,Deskcoll,Critical,Critical,50863000.0,50863000.0,0.2656,30,True,True
CTR-00051-2,CUST-00051,2026-08-01,2026-08-31,Can Pay,Can Pay,0.8397,0.8672,347,377,Deskcoll,Deskcoll,High,High,35181000.0,31272000.0,0.02749999999999997,30,False,False
CTR-00052-1,CUST-00052,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1082,0.1291,76,106,Somasi,Somasi,Critical,Critical,6075000.0,5400000.0,0.020899999999999988,30,False,False
CTR-00053-1,CUST-00053,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1015,0.1464,248,278,Somasi,Somasi,Critical,Critical,11890000.0,11890000.0,0.044899999999999995,30,False,False
CTR-00054-1,CUST-00054,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2153,0.0804,483,513,Somasi,Somasi,Critical,Critical,42042000.0,40040000.0,-0.1349,30,False,False
CTR-00055-1,CUST-00055,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2684,0.0928,650,680,Somasi,Somasi,Critical,Critical,9120000.0,9120000.0,-0.17560000000000003,30,False,False
CTR-00056-1,CUST-00056,2026-08-01,2026-08-31,Can Pay,Can Pay,0.5839,0.5253,242,272,Deskcoll,Deskcoll,Medium,Medium,18235000.0,18235000.0,-0.058599999999999985,30,False,False
CTR-00057-1,CUST-00057,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4043,0.3754,66,96,Visit,Visit,High,High,9318000.0,7765000.0,-0.02889999999999998,30,False,False
CTR-00058-1,CUST-00058,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1734,0.2317,642,672,Somasi,Somasi,Critical,Critical,14992000.0,14055000.0,0.05829999999999999,30,False,False
CTR-00059-1,CUST-00059,2026-08-01,2026-08-31,Can Pay,Cannot Pay,0.5711,0.4946,0,25,Visit,Visit,Medium,High,8988000.0,8988000.0,-0.07650000000000007,25,True,False
CTR-00060-1,CUST-00060,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0824,0.1304,21,0,Visit,Visit,High,High,4090000.0,3272000.0,0.04799999999999999,-21,False,False
CTR-00061-1,CUST-00061,2026-08-01,2026-08-31,Can Pay,Can Pay,0.6497,0.5607,166,196,Deskcoll,Deskcoll,Medium,Medium,6559000.0,6559000.0,-0.08900000000000008,30,False,False
CTR-00061-2,CUST-00061,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1758,0.0952,385,415,Somasi,Somasi,Critical,Critical,6566000.0,6566000.0,-0.0806,30,False,False
CTR-00062-1,CUST-00062,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1445,0.2262,425,455,Pickup,Pickup,Critical,Critical,29628000.0,29628000.0,0.08170000000000002,30,False,False
CTR-00062-2,CUST-00062,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1727,0.1271,612,642,Pickup,Pickup,Critical,Critical,27136000.0,27136000.0,-0.0456,30,False,False
CTR-00062-3,CUST-00062,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.3817,0.3896,244,274,Visit,Visit,Critical,Critical,36512000.0,36512000.0,0.007900000000000018,30,False,False
CTR-00063-1,CUST-00063,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0935,0.1338,136,166,Somasi,Somasi,Critical,Critical,7210000.0,7210000.0,0.0403,30,False,False
CTR-00063-2,CUST-00063,2026-08-01,2026-08-31,Cannot Pay,Won't Pay,0.3091,0.2353,199,229,Visit,Somasi,High,Critical,13456000.0,13456000.0,-0.07379999999999998,30,True,True
CTR-00064-1,CUST-00064,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0759,0.0774,172,202,Somasi,Somasi,Critical,Critical,10892000.0,10892000.0,0.0015000000000000013,30,False,False
CTR-00064-2,CUST-00064,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1873,0.1457,268,298,Somasi,Somasi,Critical,Critical,11968000.0,11968000.0,-0.0416,30,False,False
CTR-00065-1,CUST-00065,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.4679,0.5262,427,457,Visit,Deskcoll,High,Medium,6244000.0,6021000.0,0.05830000000000002,30,True,True
CTR-00065-2,CUST-00065,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4737,0.3557,536,566,Visit,Visit,High,High,9450000.0,9450000.0,-0.118,30,False,False
CTR-00066-1,CUST-00066,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.2459,0.4972,279,309,Somasi,Visit,Critical,High,20020000.0,19019000.0,0.25129999999999997,30,True,True
CTR-00067-1,CUST-00067,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.3574,0.863,539,569,Visit,Deskcoll,Critical,High,43778000.0,43778000.0,0.5056,30,True,True
CTR-00068-1,CUST-00068,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2146,0.1881,315,345,Somasi,Somasi,Critical,Critical,9603000.0,9603000.0,-0.026500000000000024,30,False,False
CTR-00069-1,CUST-00069,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0441,0.0729,670,700,Somasi,Somasi,Critical,Critical,13860000.0,13860000.0,0.028800000000000006,30,False,False
CTR-00069-2,CUST-00069,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1564,0.166,374,404,Visit,Visit,High,High,2615000.0,2092000.0,0.009599999999999997,30,False,False
CTR-00071-1,CUST-00071,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4427,0.3267,596,626,Visit,Visit,High,Critical,11716000.0,8787000.0,-0.11599999999999999,30,False,False
CTR-00072-1,CUST-00072,2026-08-01,2026-08-31,Can Pay,Can Pay,0.5705,0.7703,354,384,Visit,Visit,Medium,Medium,10595000.0,10595000.0,0.19979999999999998,30,False,False
CTR-00073-1,CUST-00073,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4367,0.431,388,418,Visit,Visit,Medium,Medium,4600000.0,4600000.0,-0.005699999999999983,30,False,False
CTR-00074-1,CUST-00074,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0568,0.0763,679,709,Visit,Visit,Critical,Critical,4131000.0,4131000.0,0.019500000000000003,30,False,False
CTR-00075-1,CUST-00075,2026-08-01,2026-08-31,Can Pay,Can Pay,0.7229,0.7846,427,457,Deskcoll,Deskcoll,Medium,Medium,11520000.0,10080000.0,0.06169999999999998,30,False,False
CTR-00076-1,CUST-00076,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2096,0.1414,237,267,Somasi,Somasi,Critical,Critical,10278000.0,10278000.0,-0.06820000000000001,30,False,False
CTR-00076-2,CUST-00076,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1859,0.1297,172,202,Somasi,Somasi,Critical,Critical,10420000.0,10420000.0,-0.0562,30,False,False
CTR-00077-1,CUST-00077,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.073,0.098,501,531,Somasi,Somasi,Critical,Critical,22760000.0,22760000.0,0.02500000000000001,30,False,False
CTR-00078-1,CUST-00078,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1459,0.0585,374,404,Somasi,Somasi,Critical,Critical,11401000.0,11401000.0,-0.0874,30,False,False
CTR-00078-2,CUST-00078,2026-08-01,2026-08-31,Can Pay,Can Pay,0.138,0.2221,159,189,Deskcoll,Deskcoll,Medium,Medium,8910000.0,7920000.0,0.08409999999999998,30,False,False
CTR-00079-1,CUST-00079,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.3659,0.8751,318,348,Visit,Deskcoll,Critical,High,22572000.0,22572000.0,0.5092,30,True,True
CTR-00080-1,CUST-00080,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2588,0.1389,274,304,Somasi,Somasi,Critical,Critical,29440000.0,29440000.0,-0.11989999999999998,30,False,False
CTR-00080-2,CUST-00080,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1458,0.1461,9,9,Somasi,Somasi,Critical,Critical,12866000.0,11947000.0,0.0002999999999999947,0,False,False
CTR-00081-1,CUST-00081,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.2658,0.3026,200,230,Somasi,Visit,Critical,Critical,27685000.0,27685000.0,0.0368,30,True,True
CTR-00081-2,CUST-00081,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1857,0.2017,196,226,Somasi,Pickup,Critical,Critical,63046000.0,60872000.0,0.015999999999999986,30,False,True
CTR-00081-3,CUST-00081,2026-08-01,2026-08-31,Can Pay,Won't Pay,0.6068,0.1349,588,618,Deskcoll,Pickup,Critical,Critical,23004000.0,21726000.0,-0.4719,30,True,True
CTR-00082-1,CUST-00082,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4342,0.3225,190,220,Visit,Visit,High,High,11058000.0,10476000.0,-0.11169999999999997,30,False,False
CTR-00084-1,CUST-00084,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.254,0.2166,374,404,Somasi,Somasi,Critical,Critical,36990000.0,34524000.0,-0.03740000000000002,30,False,False
CTR-00085-1,CUST-00085,2026-08-01,2026-08-31,Cannot Pay,Won't Pay,0.3729,0.2143,672,702,Visit,Visit,Medium,High,2772000.0,2772000.0,-0.15860000000000002,30,True,False
CTR-00086-1,CUST-00086,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.4372,0.5134,195,225,Visit,Visit,High,Medium,7294000.0,7294000.0,0.07619999999999999,30,True,False
CTR-00086-2,CUST-00086,2026-08-01,2026-08-31,Won't Pay,Can Pay,0.2763,0.6064,421,451,Somasi,Deskcoll,Critical,Medium,7182000.0,6384000.0,0.33010000000000006,30,True,True
CTR-00087-1,CUST-00087,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1218,0.0685,509,539,Somasi,Somasi,Critical,Critical,15856000.0,14865000.0,-0.0533,30,False,False
CTR-00087-2,CUST-00087,2026-08-01,2026-08-31,Can Pay,Cannot Pay,0.5032,0.473,167,197,Deskcoll,Visit,High,Critical,34776000.0,30429000.0,-0.030200000000000005,30,True,True
CTR-00088-1,CUST-00088,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.4224,0.887,417,447,Visit,Deskcoll,Critical,High,20930000.0,20930000.0,0.4646,30,True,True
CTR-00088-2,CUST-00088,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.3834,0.4361,340,370,Visit,Visit,High,High,19100000.0,17190000.0,0.05269999999999997,30,False,False
CTR-00089-1,CUST-00089,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1301,0.0853,312,342,Somasi,Somasi,Critical,Critical,13740000.0,13740000.0,-0.04479999999999999,30,False,False
CTR-00090-1,CUST-00090,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.2448,0.4153,333,363,Somasi,Visit,Critical,High,15095000.0,15095000.0,0.1705,30,True,True
CTR-00090-2,CUST-00090,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.054,0.0732,412,442,Pickup,Pickup,Critical,Critical,25200000.0,23940000.0,0.019200000000000002,30,False,False
CTR-00090-3,CUST-00090,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0877,0.1956,605,635,Pickup,Pickup,Critical,Critical,22455000.0,22455000.0,0.1079,30,False,False
CTR-00091-1,CUST-00091,2026-08-01,2026-08-31,Can Pay,Can Pay,0.0882,0.06,0,0,WA,WA,Medium,Medium,2163000.0,1854000.0,-0.028200000000000003,0,False,False
